NOMBRE,CODIGO,MUNICIPIO,CORRIENTE,ALTITUD_msnm,INICIO,FIN,N_MESES,ESTADO
ESC BELEN,21010170,ISNOS,BORDONES,1700.0,1981,2017,428,Activa
INSPECCION BELEN,21050180,LA PLATA,LA PLATA,1920.0,1981,1995,163,SUS
VILLALOBOS TV,21010240,PITALITO,GUARAPAS,2270.0,1981,2003,239,SUS
HIDROBETANIA,21090130,YAGUARÁ,MAGDALENA,500.0,1982,1986,56,SUS
ANTENA CERRO NEIVA,21110420,NEIVA,CEIBAS,2030.0,1983,1990,69,SUS
BUENAVISTA HDA,21080120,ÍQUIRA,YAGUARA,1720.0,1983,1995,142,SUS
COLONIA LA HDA,21110410,NEIVA,CEIBAS,2100.0,1983,1994,88,SUS
GIRONDA LA HDA,21110430,NEIVA,CEIBAS,1060.0,1983,2017,388,Activa
GUADUAL EL,21110440,RIVERA,NEIVA,735.0,1983,2017,403,Activa
MANILA LA HDA,21115160,BARAYA,VILLAVIEJA,600.0,1983,2015,369,Activa
SAN JOSE HDA,21080110,TESALIA,YAGUARA,1000.0,1983,2016,353,Activa
STA HELENA,21110400,NEIVA,CEIBAS,1160.0,1983,2016,388,Activa
TOTUMO EL HDA,21080130,ÍQUIRA,YAGUARA,790.0,1983,2011,328,Activa
VILLARANZA,21115150,NEIVA,CEIBAS,740.0,1983,1987,53,SUS
CARDO  2 EL,21090140,PALERMO,QDA GALLINAZO,480.0,1984,2002,211,SUS
JORGE VILLAMIL,21065030,GIGANTE,QDA GUANDINOSA,1500.0,1984,1994,108,Activa
JUNCALITO,21090150,PALERMO,MAGDALENA,450.0,1984,2002,153,SUS
SAN RAFAEL,21085030,TERUEL,PEDERNAL,1030.0,1984,2017,383,Activa
PUEBLO NUEVO,21110130,NEIVA,CEIBAS,1580.0,1985,2012,285,Activa
BETULIA LA,21045010,AGRADO,MAGDALENA,780.0,1986,2016,345,Activa
JULIA LA,21135050,NEIVA,CHIQUILA,1691.0,1986,2016,343,Activa
LIBANO EL,21035040,SUAZA,SUAZA,1045.0,1986,2017,366,Activa
PALERMO,21125020,PALERMO,BACHE,550.0,1986,2012,284,Activa
PARAGUAY HDA,21120010,PALERMO,BACHE,1300.0,1986,2017,346,Activa
STA ANA,21145080,COLOMBIA,CABRERA,1410.0,1986,2016,345,Activa
STO DOMINGO,21145060,BARAYA,CABRERA,1275.0,1986,2009,262,SUS
POTOSI HDA,21105040,CAMPOALEGRE,MAGDALENA,680.0,1987,2017,326,Activa
STA BARBARA FCA,21100070,ALGECIRAS,NEIVA,1750.0,1987,2017,355,Activa
POTRERITO,21120040,AIPE,BACHE,850.0,1989,2017,336,Activa
HIDROBETANIA,21105060,CAMPOALEGRE,MAGDALENA,500.0,1990,2011,154,SUS
TERPEYA COLOMBIA,21085040,ÍQUIRA,YAGUARA,1650.0,1991,2017,311,Activa
ALTAMIRA EL GRIFO,21025030,ALTAMIRA,SUAZA,1368.0,1995,2017,236,Activa
NEIVA,21110460,NEIVA,LAS CEIBAS,516.0,2010,2017,86,Activa
